profile;montage;sides;apv;profile_category;Antal m� fireboard pr. m profil;Antal bj�lkeprofiler/PDP pr. m profil;Antal vinkelprofil pr. m profil;Antal skruer pr. m profil;Antal klammer pr. m profil
HEB800;Bjælkeprofil eller PDP profil;2;34;H-profiler;1,1950;1;2;32;
HEB800;Bjælkeprofil eller PDP profil;3;59;H-profiler;2,0450;2;2;48;
HEB800;Bjælkeprofil eller PDP profil;4;70;H-profiler;2,4900;4;0;64;
HEB900;Klammeløsning;1;36;H-profiler;0,4800;;2;16;16
HEB900;Klammeløsning;2;33;H-profiler;1,2450;;2;16;8
HEB900;Klammeløsning;3;57;H-profiler;2,1450;;2;16;16
HEB900;Klammeløsning;4;65;H-profiler;2,4900;;0;0;32
HEB900;Bjælkeprofil eller PDP profil;1;40;H-profiler;0,5800;2;2;48;
HEB900;Bjælkeprofil eller PDP profil;2;34;H-profiler;1,2950;1;2;32;
HEB900;Bjælkeprofil eller PDP profil;3;59;H-profiler;2,2450;2;2;48;
HEB900;Bjælkeprofil eller PDP profil;4;68;H-profiler;2,6900;4;0;64;
HEB1000;Klammeløsning;1;35;H-profiler;0,4820;;2;16;16
HEB1000;Klammeløsning;2;33;H-profiler;1,3450;;2;16;8
HEB1000;Klammeløsning;3;58;H-profiler;2,3450;;2;16;16
HEB1000;Klammeløsning;4;65;H-profiler;2,6900;;0;0;32
HEB1000;Bjælkeprofil eller PDP profil;1;40;H-profiler;0,5820;2;2;48;
HEB1000;Bjælkeprofil eller PDP profil;2;34;H-profiler;1,3950;1;2;32;
HEB1000;Bjælkeprofil eller PDP profil;3;59;H-profiler;2,4450;2;2;48;
HEB1000;Bjælkeprofil eller PDP profil;4;68;H-profiler;2,8900;4;0;64;
HEA100;Klammeløsning;1;145;H-profiler;0,2260;;2;16;16
HEA100;Klammeløsning;2;93;H-profiler;0,2410;;2;16;8
HEA100;Klammeløsning;3;138;H-profiler;0,3370;;2;16;16
HEA100;Klammeløsning;4;185;H-profiler;0,4820;;0;0;32
HEA100;Bjælkeprofil eller PDP profil;1;208;H-profiler;0,3260;2;2;48;
HEA100;Bjælkeprofil eller PDP profil;2;107;H-profiler;0,2910;1;2;32;
HEA100;Bjælkeprofil eller PDP profil;3;167;H-profiler;0,4370;2;2;48;
HEA100;Bjælkeprofil eller PDP profil;4;242;H-profiler;0,6820;4;0;64;
HEA120;Klammeløsning;1;142;H-profiler;0,2460;;2;16;16
HEA120;Klammeløsning;2;93;H-profiler;0,2790;;2;16;8
HEA120;Klammeløsning;3;138;H-profiler;0,3930;;2;16;16
HEA120;Klammeløsning;4;185;H-profiler;0,5580;;0;0;32
HEA120;Bjælkeprofil eller PDP profil;1;194;H-profiler;0,3460;2;2;48;
HEA120;Bjælkeprofil eller PDP profil;2;105;H-profiler;0,3290;1;2;32;
HEA120;Bjælkeprofil eller PDP profil;3;162;H-profiler;0,4930;2;2;48;
HEA120;Bjælkeprofil eller PDP profil;4;233;H-profiler;0,7580;4;0;64;
HEA140;Klammeløsning;1;132;H-profiler;0,2670;;2;16;16
HEA140;Klammeløsning;2;87;H-profiler;0,3180;;2;16;8
HEA140;Klammeløsning;3;130;H-profiler;0,4510;;2;16;16
HEA140;Klammeløsning;4;174;H-profiler;0,6360;;0;0;32
HEA140;Bjælkeprofil eller PDP profil;1;174;H-profiler;0,3670;2;2;48;
HEA140;Bjælkeprofil eller PDP profil;2;97;H-profiler;0,3680;1;2;32;
HEA140;Bjælkeprofil eller PDP profil;3;149;H-profiler;0,5510;2;2;48;
HEA140;Bjælkeprofil eller PDP profil;4;213;H-profiler;0,8360;4;0;64;
HEA160;Klammeløsning;1;124;H-profiler;0,2880;;2;16;16
HEA160;Klammeløsning;2;81;H-profiler;0,3570;;2;16;8
HEA160;Klammeløsning;3;120;H-profiler;0,5090;;2;16;16
HEA160;Klammeløsning;4;161;H-profiler;0,7140;;0;0;32
HEA160;Bjælkeprofil eller PDP profil;1;159;H-profiler;0,3880;2;2;48;
HEA160;Bjælkeprofil eller PDP profil;2;89;H-profiler;0,4070;1;2;32;
HEA160;Bjælkeprofil eller PDP profil;3;136;H-profiler;0,6090;2;2;48;
