profile;montage;sides;apv;profile_category;Antal m� fireboard pr. m profil;Antal bj�lkeprofiler/PDP pr. m profil;Antal vinkelprofil pr. m profil;Antal skruer pr. m profil;Antal klammer pr. m profil
80x80x4 mm;Bjælkeprofil eller PDP profil;3;257;Kvadratiske rør koldvalsede;0,3850;2;2;48;
80x80x4 mm;Bjælkeprofil eller PDP profil;4;377;Kvadratiske rør koldvalsede;0,6100;4;0;64;
80x80x5 mm;Klammeløsning;1;225;Kvadratiske rør koldvalsede;0,2000;;2;16;16
80x80x5 mm;Klammeløsning;2;112;Kvadratiske rør koldvalsede;0,2050;;2;16;8
80x80x5 mm;Klammeløsning;3;167;Kvadratiske rør koldvalsede;0,2850;;2;16;16
80x80x5 mm;Klammeløsning;4;223;Kvadratiske rør koldvalsede;0,4100;;0;0;32
80x80x5 mm;Bjælkeprofil eller PDP profil;1;350;Kvadratiske rør koldvalsede;0,3000;2;2;48;
80x80x5 mm;Bjælkeprofil eller PDP profil;2;132;Kvadratiske rør koldvalsede;0,2550;1;2;32;
80x80x5 mm;Bjælkeprofil eller PDP profil;3;209;Kvadratiske rør koldvalsede;0,3850;2;2;48;
80x80x5 mm;Bjælkeprofil eller PDP profil;4;306;Kvadratiske rør koldvalsede;0,6100;4;0;64;
80x80x6 mm;Klammeløsning;1;192;Kvadratiske rør koldvalsede;0,2020;;2;16;16
80x80x6 mm;Klammeløsning;2;96;Kvadratiske rør koldvalsede;0,2050;;2;16;8
80x80x6 mm;Klammeløsning;3;143;Kvadratiske rør koldvalsede;0,2850;;2;16;16
80x80x6 mm;Klammeløsning;4;191;Kvadratiske rør koldvalsede;0,4100;;0;0;32
80x80x6 mm;Bjælkeprofil eller PDP profil;1;296;Kvadratiske rør koldvalsede;0,3020;2;2;48;
80x80x6 mm;Bjælkeprofil eller PDP profil;2;114;Kvadratiske rør koldvalsede;0,2550;1;2;32;
80x80x6 mm;Bjælkeprofil eller PDP profil;3;179;Kvadratiske rør koldvalsede;0,3850;2;2;48;
80x80x6 mm;Bjælkeprofil eller PDP profil;4;262;Kvadratiske rør koldvalsede;0,6100;4;0;64;
90x90x3 mm;Klammeløsning;1;356;Kvadratiske rør koldvalsede;0,2060;;2;16;16
90x90x3 mm;Klammeløsning;2;177;Kvadratiske rør koldvalsede;0,2250;;2;16;8
90x90x3 mm;Klammeløsning;3;265;Kvadratiske rør koldvalsede;0,3150;;2;16;16
90x90x3 mm;Klammeløsning;4;353;Kvadratiske rør koldvalsede;0,4500;;0;0;32
90x90x3 mm;Bjælkeprofil eller PDP profil;1;541;Kvadratiske rør koldvalsede;0,3060;2;2;48;
90x90x3 mm;Bjælkeprofil eller PDP profil;2;206;Kvadratiske rør koldvalsede;0,2750;1;2;32;
90x90x3 mm;Bjælkeprofil eller PDP profil;3;324;Kvadratiske rør koldvalsede;0,4150;2;2;48;
90x90x3 mm;Bjælkeprofil eller PDP profil;4;471;Kvadratiske rør koldvalsede;0,6500;4;0;64;
90x90x4 mm;Klammeløsning;1;273;Kvadratiske rør koldvalsede;0,2080;;2;16;16
90x90x4 mm;Klammeløsning;2;136;Kvadratiske rør koldvalsede;0,2250;;2;16;8
90x90x4 mm;Klammeløsning;3;204;Kvadratiske rør koldvalsede;0,3150;;2;16;16
90x90x4 mm;Klammeløsning;4;271;Kvadratiske rør koldvalsede;0,4500;;0;0;32
90x90x4 mm;Bjælkeprofil eller PDP profil;1;412;Kvadratiske rør koldvalsede;0,3080;2;2;48;
90x90x4 mm;Bjælkeprofil eller PDP profil;2;158;Kvadratiske rør koldvalsede;0,2750;1;2;32;
90x90x4 mm;Bjælkeprofil eller PDP profil;3;249;Kvadratiske rør koldvalsede;0,4150;2;2;48;
90x90x4 mm;Bjælkeprofil eller PDP profil;4;361;Kvadratiske rør koldvalsede;0,6500;4;0;64;
90x90x5 mm;Klammeløsning;1;223;Kvadratiske rør koldvalsede;0,2100;;2;16;16
90x90x5 mm;Klammeløsning;2;110;Kvadratiske rør koldvalsede;0,2250;;2;16;8
90x90x5 mm;Klammeløsning;3;165;Kvadratiske rør koldvalsede;0,3150;;2;16;16
90x90x5 mm;Klammeløsning;4;220;Kvadratiske rør koldvalsede;0,4500;;0;0;32
90x90x5 mm;Bjælkeprofil eller PDP profil;1;334;Kvadratiske rør koldvalsede;0,3100;2;2;48;
90x90x5 mm;Bjælkeprofil eller PDP profil;2;129;Kvadratiske rør koldvalsede;0,2750;1;2;32;
90x90x5 mm;Bjælkeprofil eller PDP profil;3;202;Kvadratiske rør koldvalsede;0,4150;2;2;48;
90x90x5 mm;Bjælkeprofil eller PDP profil;4;293;Kvadratiske rør koldvalsede;0,6500;4;0;64;
90x90x6 mm;Klammeløsning;1;189;Kvadratiske rør koldvalsede;0,2120;;2;16;16
90x90x6 mm;Klammeløsning;2;94;Kvadratiske rør koldvalsede;0,2250;;2;16;8
90x90x6 mm;Klammeløsning;3;141;Kvadratiske rør koldvalsede;0,3150;;2;16;16
90x90x6 mm;Klammeløsning;4;188;Kvadratiske rør koldvalsede;0,4500;;0;0;32
90x90x6 mm;Bjælkeprofil eller PDP profil;1;282;Kvadratiske rør koldvalsede;0,3120;2;2;48;
90x90x6 mm;Bjælkeprofil eller PDP profil;2;110;Kvadratiske rør koldvalsede;0,2750;1;2;32;
90x90x6 mm;Bjælkeprofil eller PDP profil;3;172;Kvadratiske rør koldvalsede;0,4150;2;2;48;
90x90x6 mm;Bjælkeprofil eller PDP profil;4;250;Kvadratiske rør koldvalsede;0,6500;4;0;64;
100x100x3 mm;Klammeløsning;1;354;Kvadratiske rør koldvalsede;0,2160;;2;16;16
100x100x3 mm;Klammeløsning;2;176;Kvadratiske rør koldvalsede;0,2450;;2;16;8
100x100x3 mm;Klammeløsning;3;264;Kvadratiske rør koldvalsede;0,3450;;2;16;16
100x100x3 mm;Klammeløsning;4;351;Kvadratiske rør koldvalsede;0,4900;;0;0;32
100x100x3 mm;Bjælkeprofil eller PDP profil;1;520;Kvadratiske rør koldvalsede;0,3160;2;2;48;
100x100x3 mm;Bjælkeprofil eller PDP profil;2;202;Kvadratiske rør koldvalsede;0,2950;1;2;32;
100x100x3 mm;Bjælkeprofil eller PDP profil;3;316;Kvadratiske rør koldvalsede;0,4450;2;2;48;
100x100x3 mm;Bjælkeprofil eller PDP profil;4;457;Kvadratiske rør koldvalsede;0,6900;4;0;64;
100x100x4 mm;Klammeløsning;1;270;Kvadratiske rør koldvalsede;0,2180;;2;16;16
100x100x4 mm;Klammeløsning;2;135;Kvadratiske rør koldvalsede;0,2450;;2;16;8
100x100x4 mm;Klammeløsning;3;202;Kvadratiske rør koldvalsede;0,3450;;2;16;16
100x100x4 mm;Klammeløsning;4;269;Kvadratiske rør koldvalsede;0,4900;;0;0;32
100x100x4 mm;Bjælkeprofil eller PDP profil;1;395;Kvadratiske rør koldvalsede;0,3180;2;2;48;
100x100x4 mm;Bjælkeprofil eller PDP profil;2;155;Kvadratiske rør koldvalsede;0,2950;1;2;32;
100x100x4 mm;Bjælkeprofil eller PDP profil;3;242;Kvadratiske rør koldvalsede;0,4450;2;2;48;
100x100x4 mm;Bjælkeprofil eller PDP profil;4;349;Kvadratiske rør koldvalsede;0,6900;4;0;64;
100x100x5 mm;Klammeløsning;1;220;Kvadratiske rør koldvalsede;0,2200;;2;16;16
100x100x5 mm;Klammeløsning;2;109;Kvadratiske rør koldvalsede;0,2450;;2;16;8
100x100x5 mm;Klammeløsning;3;164;Kvadratiske rør koldvalsede;0,3450;;2;16;16
100x100x5 mm;Klammeløsning;4;218;Kvadratiske rør koldvalsede;0,4900;;0;0;32
100x100x5 mm;Bjælkeprofil eller PDP profil;1;320;Kvadratiske rør koldvalsede;0,3200;2;2;48;
100x100x5 mm;Bjælkeprofil eller PDP profil;2;125;Kvadratiske rør koldvalsede;0,2950;1;2;32;
100x100x5 mm;Bjælkeprofil eller PDP profil;3;196;Kvadratiske rør koldvalsede;0,4450;2;2;48;
100x100x5 mm;Bjælkeprofil eller PDP profil;4;283;Kvadratiske rør koldvalsede;0,6900;4;0;64;
100x100x6 mm;Klammeløsning;1;187;Kvadratiske rør koldvalsede;0,2220;;2;16;16
100x100x6 mm;Klammeløsning;2;93;Kvadratiske rør koldvalsede;0,2450;;2;16;8
100x100x6 mm;Klammeløsning;3;139;Kvadratiske rør koldvalsede;0,3450;;2;16;16
100x100x6 mm;Klammeløsning;4;186;Kvadratiske rør koldvalsede;0,4900;;0;0;32
100x100x6 mm;Bjælkeprofil eller PDP profil;1;270;Kvadratiske rør koldvalsede;0,3220;2;2;48;
100x100x6 mm;Bjælkeprofil eller PDP profil;2;107;Kvadratiske rør koldvalsede;0,2950;1;2;32;
100x100x6 mm;Bjælkeprofil eller PDP profil;3;167;Kvadratiske rør koldvalsede;0,4450;2;2;48;
100x100x6 mm;Bjælkeprofil eller PDP profil;4;241;Kvadratiske rør koldvalsede;0,6900;4;0;64;
100x100x8 mm;Klammeløsning;1;145;Kvadratiske rør koldvalsede;0,2260;;2;16;16
100x100x8 mm;Klammeløsning;2;74;Kvadratiske rør koldvalsede;0,2450;;2;16;8
100x100x8 mm;Klammeløsning;3;111;Kvadratiske rør koldvalsede;0,3450;;2;16;16
100x100x8 mm;Klammeløsning;4;148;Kvadratiske rør koldvalsede;0,4900;;0;0;32
100x100x8 mm;Bjælkeprofil eller PDP profil;1;208;Kvadratiske rør koldvalsede;0,3260;2;2;48;
100x100x8 mm;Bjælkeprofil eller PDP profil;2;85;Kvadratiske rør koldvalsede;0,2950;1;2;32;
100x100x8 mm;Bjælkeprofil eller PDP profil;3;133;Kvadratiske rør koldvalsede;0,4450;2;2;48;
100x100x8 mm;Bjælkeprofil eller PDP profil;4;192;Kvadratiske rør koldvalsede;0,6900;4;0;64;
120x120x4 mm;Klammeløsning;1;267;Kvadratiske rør koldvalsede;0,2380;;2;16;16
120x120x4 mm;Klammeløsning;2;133;Kvadratiske rør koldvalsede;0,2850;;2;16;8
120x120x4 mm;Klammeløsning;3;199;Kvadratiske rør koldvalsede;0,4050;;2;16;16
120x120x4 mm;Klammeløsning;4;266;Kvadratiske rør koldvalsede;0,5700;;0;0;32
120x120x4 mm;Bjælkeprofil eller PDP profil;1;371;Kvadratiske rør koldvalsede;0,3380;2;2;48;
120x120x4 mm;Bjælkeprofil eller PDP profil;2;150;Kvadratiske rør koldvalsede;0,3350;1;2;32;
120x120x4 mm;Bjælkeprofil eller PDP profil;3;233;Kvadratiske rør koldvalsede;0,5050;2;2;48;
120x120x4 mm;Bjælkeprofil eller PDP profil;4;332;Kvadratiske rør koldvalsede;0,7700;4;0;64;
120x120x5 mm;Klammeløsning;1;217;Kvadratiske rør koldvalsede;0,2400;;2;16;16
120x120x5 mm;Klammeløsning;2;108;Kvadratiske rør koldvalsede;0,2850;;2;16;8
120x120x5 mm;Klammeløsning;3;161;Kvadratiske rør koldvalsede;0,4050;;2;16;16
120x120x5 mm;Klammeløsning;4;215;Kvadratiske rør koldvalsede;0,5700;;0;0;32
120x120x5 mm;Bjælkeprofil eller PDP profil;1;300;Kvadratiske rør koldvalsede;0,3400;2;2;48;
120x120x5 mm;Bjælkeprofil eller PDP profil;2;121;Kvadratiske rør koldvalsede;0,3350;1;2;32;
120x120x5 mm;Bjælkeprofil eller PDP profil;3;188;Kvadratiske rør koldvalsede;0,5050;2;2;48;
120x120x5 mm;Bjælkeprofil eller PDP profil;4;268;Kvadratiske rør koldvalsede;0,7700;4;0;64;
120x120x6 mm;Klammeløsning;1;184;Kvadratiske rør koldvalsede;0,2420;;2;16;16
120x120x6 mm;Klammeløsning;2;91;Kvadratiske rør koldvalsede;0,2850;;2;16;8
120x120x6 mm;Klammeløsning;3;137;Kvadratiske rør koldvalsede;0,4050;;2;16;16
120x120x6 mm;Klammeløsning;4;182;Kvadratiske rør koldvalsede;0,5700;;0;0;32
120x120x6 mm;Bjælkeprofil eller PDP profil;1;253;Kvadratiske rør koldvalsede;0,3420;2;2;48;
120x120x6 mm;Bjælkeprofil eller PDP profil;2;103;Kvadratiske rør koldvalsede;0,3350;1;2;32;
120x120x6 mm;Bjælkeprofil eller PDP profil;3;160;Kvadratiske rør koldvalsede;0,5050;2;2;48;
120x120x6 mm;Bjælkeprofil eller PDP profil;4;228;Kvadratiske rør koldvalsede;0,7700;4;0;64;
120x120x8 mm;Klammeløsning;1;142;Kvadratiske rør koldvalsede;0,2460;;2;16;16
120x120x8 mm;Klammeløsning;2;72;Kvadratiske rør koldvalsede;0,2850;;2;16;8
120x120x8 mm;Klammeløsning;3;108;Kvadratiske rør koldvalsede;0,4050;;2;16;16
120x120x8 mm;Klammeløsning;4;143;Kvadratiske rør koldvalsede;0,5700;;0;0;32
120x120x8 mm;Bjælkeprofil eller PDP profil;1;194;Kvadratiske rør koldvalsede;0,3460;2;2;48;
120x120x8 mm;Bjælkeprofil eller PDP profil;2;81;Kvadratiske rør koldvalsede;0,3350;1;2;32;
120x120x8 mm;Bjælkeprofil eller PDP profil;3;125;Kvadratiske rør koldvalsede;0,5050;2;2;48;
120x120x8 mm;Bjælkeprofil eller PDP profil;4;179;Kvadratiske rør koldvalsede;0,7700;4;0;64;
140x140x5 mm;Klammeløsning;1;215;Kvadratiske rør koldvalsede;0,2600;;2;16;16
140x140x5 mm;Klammeløsning;2;107;Kvadratiske rør koldvalsede;0,3250;;2;16;8
140x140x5 mm;Klammeløsning;3;160;Kvadratiske rør koldvalsede;0,4650;;2;16;16
140x140x5 mm;Klammeløsning;4;213;Kvadratiske rør koldvalsede;0,6500;;0;0;32
140x140x5 mm;Bjælkeprofil eller PDP profil;1;286;Kvadratiske rør koldvalsede;0,3600;2;2;48;
140x140x5 mm;Bjælkeprofil eller PDP profil;2;118;Kvadratiske rør koldvalsede;0,3750;1;2;32;
140x140x5 mm;Bjælkeprofil eller PDP profil;3;182;Kvadratiske rør koldvalsede;0,5650;2;2;48;
140x140x5 mm;Bjælkeprofil eller PDP profil;4;258;Kvadratiske rør koldvalsede;0,8500;4;0;64;
140x140x6 mm;Klammeløsning;1;181;Kvadratiske rør koldvalsede;0,2620;;2;16;16
140x140x6 mm;Klammeløsning;2;90;Kvadratiske rør koldvalsede;0,3250;;2;16;8
140x140x6 mm;Klammeløsning;3;135;Kvadratiske rør koldvalsede;0,4650;;2;16;16
140x140x6 mm;Klammeløsning;4;180;Kvadratiske rør koldvalsede;0,6500;;0;0;32
140x140x6 mm;Bjælkeprofil eller PDP profil;1;241;Kvadratiske rør koldvalsede;0,3620;2;2;48;
140x140x6 mm;Bjælkeprofil eller PDP profil;2;100;Kvadratiske rør koldvalsede;0,3750;1;2;32;
140x140x6 mm;Bjælkeprofil eller PDP profil;3;154;Kvadratiske rør koldvalsede;0,5650;2;2;48;
140x140x6 mm;Bjælkeprofil eller PDP profil;4;218;Kvadratiske rør koldvalsede;0,8500;4;0;64;
140x140x8 mm;Klammeløsning;1;140;Kvadratiske rør koldvalsede;0,2660;;2;16;16
140x140x8 mm;Klammeløsning;2;70;Kvadratiske rør koldvalsede;0,3250;;2;16;8
140x140x8 mm;Klammeløsning;3;105;Kvadratiske rør koldvalsede;0,4650;;2;16;16
140x140x8 mm;Klammeløsning;4;140;Kvadratiske rør koldvalsede;0,6500;;0;0;32
140x140x8 mm;Bjælkeprofil eller PDP profil;1;184;Kvadratiske rør koldvalsede;0,3660;2;2;48;
140x140x8 mm;Bjælkeprofil eller PDP profil;2;78;Kvadratiske rør koldvalsede;0,3750;1;2;32;
140x140x8 mm;Bjælkeprofil eller PDP profil;3;120;Kvadratiske rør koldvalsede;0,5650;2;2;48;
140x140x8 mm;Bjælkeprofil eller PDP profil;4;170;Kvadratiske rør koldvalsede;0,8500;4;0;64;
150x150x5 mm;Klammeløsning;1;214;Kvadratiske rør koldvalsede;0,2700;;2;16;16
150x150x5 mm;Klammeløsning;2;106;Kvadratiske rør koldvalsede;0,3450;;2;16;8
150x150x5 mm;Klammeløsning;3;159;Kvadratiske rør koldvalsede;0,4950;;2;16;16
150x150x5 mm;Klammeløsning;4;212;Kvadratiske rør koldvalsede;0,6900;;0;0;32
150x150x5 mm;Bjælkeprofil eller PDP profil;1;280;Kvadratiske rør koldvalsede;0,3700;2;2;48;
150x150x5 mm;Bjælkeprofil eller PDP profil;2;117;Kvadratiske rør koldvalsede;0,3950;1;2;32;
150x150x5 mm;Bjælkeprofil eller PDP profil;3;180;Kvadratiske rør koldvalsede;0,5950;2;2;48;
150x150x5 mm;Bjælkeprofil eller PDP profil;4;254;Kvadratiske rør koldvalsede;0,8900;4;0;64;
150x150x6 mm;Klammeløsning;1;180;Kvadratiske rør koldvalsede;0,2720;;2;16;16
150x150x6 mm;Klammeløsning;2;90;Kvadratiske rør koldvalsede;0,3450;;2;16;8
150x150x6 mm;Klammeløsning;3;134;Kvadratiske rør koldvalsede;0,4950;;2;16;16
150x150x6 mm;Klammeløsning;4;179;Kvadratiske rør koldvalsede;0,6900;;0;0;32
150x150x6 mm;Bjælkeprofil eller PDP profil;1;236;Kvadratiske rør koldvalsede;0,3720;2;2;48;
150x150x6 mm;Bjælkeprofil eller PDP profil;2;99;Kvadratiske rør koldvalsede;0,3950;1;2;32;
150x150x6 mm;Bjælkeprofil eller PDP profil;3;152;Kvadratiske rør koldvalsede;0,5950;2;2;48;
150x150x6 mm;Bjælkeprofil eller PDP profil;4;215;Kvadratiske rør koldvalsede;0,8900;4;0;64;
150x150x8 mm;Klammeløsning;1;139;Kvadratiske rør koldvalsede;0,2760;;2;16;16
150x150x8 mm;Klammeløsning;2;70;Kvadratiske rør koldvalsede;0,3450;;2;16;8
150x150x8 mm;Klammeløsning;3;105;Kvadratiske rør koldvalsede;0,4950;;2;16;16
150x150x8 mm;Klammeløsning;4;139;Kvadratiske rør koldvalsede;0,6900;;0;0;32
150x150x8 mm;Bjælkeprofil eller PDP profil;1;180;Kvadratiske rør koldvalsede;0,3760;2;2;48;
150x150x8 mm;Bjælkeprofil eller PDP profil;2;77;Kvadratiske rør koldvalsede;0,3950;1;2;32;
150x150x8 mm;Bjælkeprofil eller PDP profil;3;119;Kvadratiske rør koldvalsede;0,5950;2;2;48;
150x150x8 mm;Bjælkeprofil eller PDP profil;4;167;Kvadratiske rør koldvalsede;0,8900;4;0;64;
150x150x10 mm;Klammeløsning;1;114;Kvadratiske rør koldvalsede;0,2800;;2;16;16
150x150x10 mm;Klammeløsning;2;58;Kvadratiske rør koldvalsede;0,3450;;2;16;8
150x150x10 mm;Klammeløsning;3;86;Kvadratiske rør koldvalsede;0,4950;;2;16;16
150x150x10 mm;Klammeløsning;4;115;Kvadratiske rør koldvalsede;0,6900;;0;0;32
150x150x10 mm;Bjælkeprofil eller PDP profil;1;147;Kvadratiske rør koldvalsede;0,3800;2;2;48;
150x150x10 mm;Bjælkeprofil eller PDP profil;2;63;Kvadratiske rør koldvalsede;0,3950;1;2;32;
150x150x10 mm;Bjælkeprofil eller PDP profil;3;97;Kvadratiske rør koldvalsede;0,5950;2;2;48;
150x150x10 mm;Bjælkeprofil eller PDP profil;4;137;Kvadratiske rør koldvalsede;0,8900;4;0;64;
200x200x6 mm;Klammeløsning;1;177;Kvadratiske rør koldvalsede;0,3220;;2;16;16
200x200x6 mm;Klammeløsning;2;88;Kvadratiske rør koldvalsede;0,4450;;2;16;8
200x200x6 mm;Klammeløsning;3;132;Kvadratiske rør koldvalsede;0,6450;;2;16;16
200x200x6 mm;Klammeløsning;4;176;Kvadratiske rør koldvalsede;0,8900;;0;0;32
200x200x6 mm;Bjælkeprofil eller PDP profil;1;219;Kvadratiske rør koldvalsede;0,4220;2;2;48;
200x200x6 mm;Bjælkeprofil eller PDP profil;2;95;Kvadratiske rør koldvalsede;0,4950;1;2;32;
200x200x6 mm;Bjælkeprofil eller PDP profil;3;145;Kvadratiske rør koldvalsede;0,7450;2;2;48;
200x200x6 mm;Bjælkeprofil eller PDP profil;4;202;Kvadratiske rør koldvalsede;1,0900;4;0;64;
200x200x8 mm;Klammeløsning;1;135;Kvadratiske rør koldvalsede;0,3260;;2;16;16
200x200x8 mm;Klammeløsning;2;68;Kvadratiske rør koldvalsede;0,4450;;2;16;8
200x200x8 mm;Klammeløsning;3;102;Kvadratiske rør koldvalsede;0,6450;;2;16;16
200x200x8 mm;Klammeløsning;4;136;Kvadratiske rør koldvalsede;0,8900;;0;0;32
200x200x8 mm;Bjælkeprofil eller PDP profil;1;167;Kvadratiske rør koldvalsede;0,4260;2;2;48;
200x200x8 mm;Bjælkeprofil eller PDP profil;2;73;Kvadratiske rør koldvalsede;0,4950;1;2;32;
200x200x8 mm;Bjælkeprofil eller PDP profil;3;112;Kvadratiske rør koldvalsede;0,7450;2;2;48;
200x200x8 mm;Bjælkeprofil eller PDP profil;4;156;Kvadratiske rør koldvalsede;1,0900;4;0;64;
200x200x10 mm;Klammeløsning;1;110;Kvadratiske rør koldvalsede;0,3300;;2;16;16
200x200x10 mm;Klammeløsning;2;56;Kvadratiske rør koldvalsede;0,4450;;2;16;8
200x200x10 mm;Klammeløsning;3;83;Kvadratiske rør koldvalsede;0,6450;;2;16;16
200x200x10 mm;Klammeløsning;4;111;Kvadratiske rør koldvalsede;0,8900;;0;0;32
200x200x10 mm;Bjælkeprofil eller PDP profil;1;135;Kvadratiske rør koldvalsede;0,4300;2;2;48;
200x200x10 mm;Bjælkeprofil eller PDP profil;2;60;Kvadratiske rør koldvalsede;0,4950;1;2;32;
200x200x10 mm;Bjælkeprofil eller PDP profil;3;91;Kvadratiske rør koldvalsede;0,7450;2;2;48;
200x200x10 mm;Bjælkeprofil eller PDP profil;4;127;Kvadratiske rør koldvalsede;1,0900;4;0;64;
200x200x12 mm;Klammeløsning;1;94;Kvadratiske rør koldvalsede;0,3340;;2;16;16
200x200x12 mm;Klammeløsning;2;48;Kvadratiske rør koldvalsede;0,4450;;2;16;8
200x200x12 mm;Klammeløsning;3;72;Kvadratiske rør koldvalsede;0,6450;;2;16;16
200x200x12 mm;Klammeløsning;4;96;Kvadratiske rør koldvalsede;0,8900;;0;0;32
200x200x12 mm;Bjælkeprofil eller PDP profil;1;115;Kvadratiske rør koldvalsede;0,4340;2;2;48;
200x200x12 mm;Bjælkeprofil eller PDP profil;2;52;Kvadratiske rør koldvalsede;0,4950;1;2;32;
200x200x12 mm;Bjælkeprofil eller PDP profil;3;79;Kvadratiske rør koldvalsede;0,7450;2;2;48;
200x200x12 mm;Bjælkeprofil eller PDP profil;4;110;Kvadratiske rør koldvalsede;1,0900;4;0;64;
250x250x8 mm;Klammeløsning;1;133;Kvadratiske rør koldvalsede;0,3760;;2;16;16
250x250x8 mm;Klammeløsning;2;67;Kvadratiske rør koldvalsede;0,5450;;2;16;8
250x250x8 mm;Klammeløsning;3;100;Kvadratiske rør koldvalsede;0,7950;;2;16;16
250x250x8 mm;Klammeløsning;4;133;Kvadratiske rør koldvalsede;1,0900;;0;0;32
250x250x8 mm;Bjælkeprofil eller PDP profil;1;158;Kvadratiske rør koldvalsede;0,4760;2;2;48;
250x250x8 mm;Bjælkeprofil eller PDP profil;2;71;Kvadratiske rør koldvalsede;0,5950;1;2;32;
250x250x8 mm;Bjælkeprofil eller PDP profil;3;108;Kvadratiske rør koldvalsede;0,8950;2;2;48;
250x250x8 mm;Bjælkeprofil eller PDP profil;4;149;Kvadratiske rør koldvalsede;1,2900;4;0;64;
250x250x10 mm;Klammeløsning;1;108;Kvadratiske rør koldvalsede;0,3800;;2;16;16
250x250x10 mm;Klammeløsning;2;54;Kvadratiske rør koldvalsede;0,5450;;2;16;8
250x250x10 mm;Klammeløsning;3;81;Kvadratiske rør koldvalsede;0,7950;;2;16;16
250x250x10 mm;Klammeløsning;4;108;Kvadratiske rør koldvalsede;1,0900;;0;0;32
250x250x10 mm;Bjælkeprofil eller PDP profil;1;128;Kvadratiske rør koldvalsede;0,4800;2;2;48;
250x250x10 mm;Bjælkeprofil eller PDP profil;2;58;Kvadratiske rør koldvalsede;0,5950;1;2;32;
250x250x10 mm;Bjælkeprofil eller PDP profil;3;88;Kvadratiske rør koldvalsede;0,8950;2;2;48;
250x250x10 mm;Bjælkeprofil eller PDP profil;4;121;Kvadratiske rør koldvalsede;1,2900;4;0;64;
250x250x12 mm;Klammeløsning;1;92;Kvadratiske rør koldvalsede;0,3840;;2;16;16
250x250x12 mm;Klammeløsning;2;47;Kvadratiske rør koldvalsede;0,5450;;2;16;8
250x250x12 mm;Klammeløsning;3;70;Kvadratiske rør koldvalsede;0,7950;;2;16;16
250x250x12 mm;Klammeløsning;4;93;Kvadratiske rør koldvalsede;1,0900;;0;0;32
250x250x12 mm;Bjælkeprofil eller PDP profil;1;108;Kvadratiske rør koldvalsede;0,4840;2;2;48;
250x250x12 mm;Bjælkeprofil eller PDP profil;2;50;Kvadratiske rør koldvalsede;0,5950;1;2;32;
250x250x12 mm;Bjælkeprofil eller PDP profil;3;75;Kvadratiske rør koldvalsede;0,8950;2;2;48;
250x250x12 mm;Bjælkeprofil eller PDP profil;4;104;Kvadratiske rør koldvalsede;1,2900;4;0;64;
300x300x10 mm;Klammeløsning;1;107;Kvadratiske rør koldvalsede;0,4300;;2;16;16
300x300x10 mm;Klammeløsning;2;54;Kvadratiske rør koldvalsede;0,6450;;2;16;8
300x300x10 mm;Klammeløsning;3;80;Kvadratiske rør koldvalsede;0,9450;;2;16;16
300x300x10 mm;Klammeløsning;4;107;Kvadratiske rør koldvalsede;1,2900;;0;0;32
300x300x10 mm;Bjælkeprofil eller PDP profil;1;124;Kvadratiske rør koldvalsede;0,5300;2;2;48;
300x300x10 mm;Bjælkeprofil eller PDP profil;2;56;Kvadratiske rør koldvalsede;0,6950;1;2;32;
300x300x10 mm;Bjælkeprofil eller PDP profil;3;85;Kvadratiske rør koldvalsede;1,0450;2;2;48;
300x300x10 mm;Bjælkeprofil eller PDP profil;4;117;Kvadratiske rør koldvalsede;1,4900;4;0;64;
300x300x12 mm;Klammeløsning;1;90;Kvadratiske rør koldvalsede;0,4340;;2;16;16
300x300x12 mm;Klammeløsning;2;46;Kvadratiske rør koldvalsede;0,6450;;2;16;8
300x300x12 mm;Klammeløsning;3;69;Kvadratiske rør koldvalsede;0,9450;;2;16;16
300x300x12 mm;Klammeløsning;4;91;Kvadratiske rør koldvalsede;1,2900;;0;0;32
300x300x12 mm;Bjælkeprofil eller PDP profil;1;104;Kvadratiske rør koldvalsede;0,5340;2;2;48;
300x300x12 mm;Bjælkeprofil eller PDP profil;2;48;Kvadratiske rør koldvalsede;0,6950;1;2;32;
300x300x12 mm;Bjælkeprofil eller PDP profil;3;73;Kvadratiske rør koldvalsede;1,0450;2;2;48;
300x300x12 mm;Bjælkeprofil eller PDP profil;4;100;Kvadratiske rør koldvalsede;1,4900;4;0;64;
400x400x16 mm;Klammeløsning;1;68;Kvadratiske rør koldvalsede;0,5420;;2;16;16
400x400x16 mm;Klammeløsning;2;35;Kvadratiske rør koldvalsede;0,8450;;2;16;8
400x400x16 mm;Klammeløsning;3;52;Kvadratiske rør koldvalsede;1,2450;;2;16;16
400x400x16 mm;Klammeløsning;4;69;Kvadratiske rør koldvalsede;1,6900;;0;0;32
400x400x16 mm;Bjælkeprofil eller PDP profil;1;76;Kvadratiske rør koldvalsede;0,6420;2;2;48;
400x400x16 mm;Bjælkeprofil eller PDP profil;2;36;Kvadratiske rør koldvalsede;0,8950;1;2;32;
400x400x16 mm;Bjælkeprofil eller PDP profil;3;54;Kvadratiske rør koldvalsede;1,3450;2;2;48;
400x400x16 mm;Bjælkeprofil eller PDP profil;4;74;Kvadratiske rør koldvalsede;1,8900;4;0;64;
50x25x2,5 mm;Klammeløsning;1;480;Rektangulære rør varmvalsede;0,1400;;2;16;16
